rule_key,domain,rule_name,description,event_type,field_path,aggregation,window_seconds,operator,threshold_value,base_severity,escalation_enabled,escalation_window_seconds,escalation_threshold,cooldown_seconds,default_response_type,default_response_action,auto_mitigation_enabled
SEC_FLOOD_001,SECURITY,Telemetry Flood,Excessive message rate per device,occupancy,device_message_count,COUNT,60,>,300.0,MEDIUM,True,300.0,3.0,300,AUTOMATED,Rate-limit device traffic and monitor network load,True
SEC_HEARTBEAT_001,SECURITY,Device Offline,Device heartbeat delay,heartbeat,lastHeartbeat_delay,MAX,60,>,60.0,HIGH,False,,,300,MANUAL,Attempt automatic device reconnect; notify if unsuccessful,False
SEC_EDGE_CPU_001,SECURITY,Edge CPU Abuse,High CPU usage on edge node,edge_status,cpuPct,LATEST,60,>,85.0,HIGH,True,300.0,3.0,300,MANUAL,Throttle edge workload or trigger scaling policy,False
SEC_EDGE_MEM_001,SECURITY,Edge Memory Abuse,High memory usage on edge node,edge_status,memPct,LATEST,60,>,85.0,HIGH,True,300.0,3.0,300,MANUAL,Throttle edge workload or trigger scaling policy,False
SEC_EDGE_QUEUE_001,SECURITY,Edge Queue Backlog,Edge processing backlog indicates overload,edge_status,queueDepth,LATEST,60,>,100.0,HIGH,True,300.0,3.0,300,MANUAL,Throttle edge workload or trigger scaling policy,False
SEC_ESCALATION_001,SECURITY,Security Escalation,Repeated security alerts per device,internal,alert_count_per_device,COUNT,300,>,3.0,HIGH,False,,,300,MANUAL,Escalate incident to senior operations team,False
OPS_CROWD_WARNING,OPERATIONS,High Occupancy,Hall nearing capacity,occupancy,occupancyRatio,LATEST,900,>,0.85,MEDIUM,True,600.0,3.0,300,AUTOMATED,Notify operations staff to manage crowd flow,True
OPS_CROWD_CRITICAL,OPERATIONS,Critical Occupancy,Hall at unsafe capacity,occupancy,occupancyRatio,LATEST,900,>,0.95,HIGH,True,600.0,3.0,300,MANUAL,Notify operations staff to manage crowd flow,False
OPS_OCCUPANCY_SURGE,OPERATIONS,Sudden Crowd Surge,Rapid occupancy growth,occupancy,occupancyGrowthRate,AVG,300,>,0.15,MEDIUM,False,,,300,AUTOMATED,Review system status and investigate anomaly,True
OPS_CONGESTION_001,OPERATIONS,Flow Congestion,Crowd movement bottleneck,video_analytics,congestionIndex,LATEST,900,>,0.7,MEDIUM,True,600.0,3.0,300,AUTOMATED,Notify operations staff to manage crowd flow,True
OPS_AIR_QUALITY_001,OPERATIONS,High CO2,Poor ventilation indicated by elevated CO2,environment,co2ppm,LATEST,900,>,1200.0,MEDIUM,True,600.0,3.0,300,AUTOMATED,Adjust HVAC parameters to restore comfort range,True
OPS_TEMP_HIGH_001,OPERATIONS,Temperature Too High,Uncomfortably high indoor temperature,temp_humidity,temperatureC,LATEST,900,>,26.0,MEDIUM,True,600.0,3.0,300,AUTOMATED,Adjust HVAC parameters to restore comfort range,True
OPS_TEMP_LOW_001,OPERATIONS,Temperature Too Low,Uncomfortably low indoor temperature,temp_humidity,temperatureC,LATEST,900,<,20.0,MEDIUM,True,600.0,3.0,300,AUTOMATED,Adjust HVAC parameters to restore comfort range,True
OPS_HUMIDITY_HIGH_001,OPERATIONS,High Humidity,Humidity above comfort range,temp_humidity,humidityPct,LATEST,900,>,70.0,MEDIUM,True,600.0,3.0,300,AUTOMATED,Adjust HVAC parameters to restore comfort range,True
OPS_FLOW_IMBALANCE_001,OPERATIONS,Flow Imbalance,Large difference between inflow and outflow,video_analytics,inflow_outflow_imbalance,AVG,900,>,150.0,MEDIUM,True,600.0,3.0,300,AUTOMATED,Notify operations staff to manage crowd flow,True
OPS_ESCALATION_001,OPERATIONS,Operational Escalation,Repeated operational alerts,internal,ops_alert_count,COUNT,600,>,3.0,HIGH,False,,,300,MANUAL,Escalate incident to senior operations team,False
SUS_ENERGY_SPIKE,SUSTAINABILITY,Energy Spike,High HVAC energy consumption,hvac_energy,energy_kwh,SUM,3600,>,500.0,MEDIUM,True,3600.0,3.0,600,AUTOMATED,Optimize HVAC power usage and review efficiency,True
SUS_HIGH_EMISSIONS,SUSTAINABILITY,High Emissions,Elevated carbon levels,environment,co2Level,LATEST,3600,>,1000.0,MEDIUM,True,3600.0,3.0,600,AUTOMATED,Investigate ventilation and emission sources,True
SUS_LOW_EFFICIENCY,SUSTAINABILITY,Low Efficiency,Poor energy efficiency score,hvac_energy,efficiencyScore,LATEST,900,<,65.0,MEDIUM,False,,,600,AUTOMATED,Review system status and investigate anomaly,True
SUS_POWER_SPIKE_001,SUSTAINABILITY,HVAC Power Spike,High instantaneous HVAC power draw,hvac_energy,hvacPowerKW,LATEST,900,>,50.0,MEDIUM,True,3600.0,3.0,600,AUTOMATED,Optimize HVAC power usage and review efficiency,True
SUS_ESCALATION_001,SUSTAINABILITY,Sustainability Escalation,Repeated sustainability alerts,internal,sus_alert_count,COUNT,3600,>,3.0,MEDIUM,False,,,600,AUTOMATED,Escalate incident to senior operations team,True
